RESOURCETYPE,CERTIFICATION,ENABLED
Microsoft.CognitiveServices/operations,,
Microsoft.Compute/availabilitySets,PROTECTED,TRUE
Microsoft.Compute/disks,PROTECTED,TRUE
Microsoft.Compute/images,PROTECTED,TRUE
Microsoft.Compute/locations/capsoperations,PROTECTED,TRUE
Microsoft.Compute/locations/diskoperations,PROTECTED,TRUE
Microsoft.Compute/locations/logAnalytics,PROTECTED,TRUE
Microsoft.Compute/locations/operations,PROTECTED,TRUE
Microsoft.Compute/locations/publishers,PROTECTED,TRUE
Microsoft.Compute/locations/runCommands,PROTECTED,TRUE
Microsoft.Compute/locations/usages,PROTECTED,TRUE
Microsoft.Compute/locations/virtualMachines,PROTECTED,TRUE
Microsoft.Compute/locations/vmSizes,PROTECTED,TRUE
Microsoft.Compute/operations,PROTECTED,TRUE
Microsoft.Compute/restorePointCollections,PROTECTED,TRUE
Microsoft.Compute/restorePointCollections/restorePoints,PROTECTED,TRUE
Microsoft.Compute/sharedVMImages,PROTECTED,TRUE
Microsoft.Compute/sharedVMImages/versions,PROTECTED,TRUE
Microsoft.Compute/snapshots,PROTECTED,TRUE
Microsoft.Compute/virtualMachines,PROTECTED,TRUE
Microsoft.Compute/virtualMachines/diagnosticSettings,PROTECTED,TRUE
Microsoft.Compute/virtualMachines/extensions,PROTECTED,TRUE
Microsoft.Compute/virtualMachines/metricDefinitions,PROTECTED,TRUE
Microsoft.Compute/virtualMachineScaleSets,PROTECTED,TRUE
Microsoft.Compute/virtualMachineScaleSets/extensions,PROTECTED,TRUE
Microsoft.Compute/virtualMachineScaleSets/networkInterfaces,PROTECTED,TRUE
Microsoft.Compute/virtualMachineScaleSets/publicIPAddresses,PROTECTED,TRUE
Microsoft.Compute/virtualMachineScaleSets/virtualMachines,PROTECTED,TRUE
Microsoft.Compute/virtualMachineScaleSets/virtualMachines/networkInterfaces,PROTECTED,TRUE
Microsoft.ContainerInstance/containerGroups,,
Microsoft.ContainerInstance/locations/operations,,
Microsoft.ContainerInstance/locations/usages,,
Microsoft.ContainerRegistry/checkNameAvailability,,
Microsoft.ContainerRegistry/locations,,
Microsoft.ContainerRegistry/locations/authorize,,
Microsoft.ContainerRegistry/locations/operationResults,,
Microsoft.ContainerRegistry/locations/setupAuth,,
Microsoft.ContainerRegistry/operations,,
Microsoft.ContainerRegistry/registries,,
Microsoft.ContainerRegistry/registries/builds,,
Microsoft.ContainerRegistry/registries/builds/cancel,,
Microsoft.ContainerRegistry/registries/builds/getLogLink,,
Microsoft.ContainerRegistry/registries/buildTasks,,
Microsoft.ContainerRegistry/registries/buildTasks/listSourceRepositoryProperties,,
Microsoft.ContainerRegistry/registries/buildTasks/steps,,
Microsoft.ContainerRegistry/registries/buildTasks/steps/listBuildArguments,,
Microsoft.ContainerRegistry/registries/eventGridFilters,,
Microsoft.ContainerRegistry/registries/getBuildSourceUploadUrl,,
Microsoft.ContainerRegistry/registries/GetCredentials,,
Microsoft.ContainerRegistry/registries/importImage,,
Microsoft.ContainerRegistry/registries/listCredentials,,
Microsoft.ContainerRegistry/registries/listPolicies,,
Microsoft.ContainerRegistry/registries/listUsages,,
Microsoft.ContainerRegistry/registries/queueBuild,,
Microsoft.ContainerRegistry/registries/regenerateCredential,,
Microsoft.ContainerRegistry/registries/regenerateCredentials,,
Microsoft.ContainerRegistry/registries/replications,,
Microsoft.ContainerRegistry/registries/updatePolicies,,
Microsoft.ContainerRegistry/registries/webhooks,,
Microsoft.ContainerRegistry/registries/webhooks/getCallbackConfig,,
Microsoft.ContainerRegistry/registries/webhooks/listEvents,,
Microsoft.ContainerRegistry/registries/webhooks/ping,,
Microsoft.ContainerService/containerServices,,
Microsoft.ContainerService/locations/operationresults,,
Microsoft.ContainerService/locations/operations,,
Microsoft.ContainerService/locations/orchestrators,,
Microsoft.ContainerService/managedClusters,,
Microsoft.ContentModerator/applications,,
Microsoft.CostManagement/Connectors,CORE,TRUE
Microsoft.CustomerInsights/hubs,,
Microsoft.CustomerInsights/hubs/authorizationPolicies,,
Microsoft.CustomerInsights/hubs/connectors,,
Microsoft.CustomerInsights/hubs/connectors/mappings,,
Microsoft.CustomerInsights/hubs/interactions,,
Microsoft.CustomerInsights/hubs/kpi,,
Microsoft.CustomerInsights/hubs/links,,
Microsoft.CustomerInsights/hubs/profiles,,
Microsoft.CustomerInsights/hubs/roleAssignments,,
Microsoft.CustomerInsights/hubs/roles,,
Microsoft.CustomerInsights/hubs/suggestTypeSchema,,
Microsoft.CustomerInsights/hubs/views,,
Microsoft.CustomerInsights/hubs/widgetTypes,,
Microsoft.CustomerInsights/operations,,
Microsoft.DataBox/locations/availableSkus,,
Microsoft.Databricks/locations,,
Microsoft.Databricks/locations/operationstatuses,,
Microsoft.Databricks/operations,,
Microsoft.Databricks/workspaces,,
Microsoft.Databricks/workspaces/virtualNetworkPeerings,,
Microsoft.DataCatalog/catalogs,UDLM,TRUE
Microsoft.DataCatalog/checkNameAvailability,UDLM,TRUE
Microsoft.DataCatalog/locations/jobs,UDLM,TRUE
Microsoft.DataCatalog/operations,UDLM,TRUE
Microsoft.DataFactory/checkAzureDataFactoryNameAvailability,,
Microsoft.DataFactory/dataFactories,,
Microsoft.DataFactory/dataFactories/diagnosticSettings,,
Microsoft.DataFactory/dataFactories/metricDefinitions,,
Microsoft.DataFactory/dataFactorySchema,,
Microsoft.DataFactory/factories,,
Microsoft.DataFactory/factories/integrationRuntimes,,
Microsoft.DataFactory/locations/configureFactoryRepo,,
Microsoft.DataFactory/operations,,
Microsoft.DataLakeAnalytics/accounts,,
Microsoft.DataLakeAnalytics/accounts/dataLakeStoreAccounts,,
Microsoft.DataLakeAnalytics/accounts/storageAccounts,,
Microsoft.DataLakeAnalytics/accounts/storageAccounts/containers,,
Microsoft.DataLakeAnalytics/accounts/storageAccounts/containers/listSasTokens,,
Microsoft.DataLakeStore/accounts,,
Microsoft.DataLakeStore/accounts/eventGridFilters,,
Microsoft.DataLakeStore/accounts/firewallRules,,
Microsoft.DataMigration/locations/checkNameAvailability,,TRUE
Microsoft.DataMigration/locations/operationResults,,TRUE
Microsoft.DataMigration/locations/operationStatuses,,TRUE
Microsoft.DataMigration/operations,,TRUE
Microsoft.DataMigration/services,,TRUE
Microsoft.DataMigration/services/projects,,TRUE
Microsoft.DBforMariaDB/locations,,
Microsoft.DBforMariaDB/locations/azureAsyncOperation,,
Microsoft.DBforMariaDB/locations/operationResults,,
Microsoft.DBforMariaDB/operations,,
Microsoft.DBforMySQL/checkNameAvailability,,
Microsoft.DBforMySQL/locations,,
Microsoft.DBforMySQL/locations/azureAsyncOperation,,
Microsoft.DBforMySQL/locations/operationResults,,
Microsoft.DBforMySQL/locations/performanceTiers,,
Microsoft.DBforMySQL/operations,,
Microsoft.DBforMySQL/servers,,
Microsoft.DBforMySQL/servers/recoverableServers,,
Microsoft.DBforMySQL/servers/virtualNetworkRules,,
Microsoft.DBforPostgreSQL/checkNameAvailability,,
Microsoft.DBforPostgreSQL/locations,,
Microsoft.DBforPostgreSQL/locations/azureAsyncOperation,,
Microsoft.DBforPostgreSQL/locations/operationResults,,
Microsoft.DBforPostgreSQL/locations/performanceTiers,,
Microsoft.DBforPostgreSQL/locations/securityAlertPoliciesAzureAsyncOperation,,
Microsoft.DBforPostgreSQL/locations/securityAlertPoliciesOperationResults,,
Microsoft.DBforPostgreSQL/operations,,
Microsoft.DBforPostgreSQL/servers,,
Microsoft.DBforPostgreSQL/servers/queryTexts,,
Microsoft.DBforPostgreSQL/servers/recoverableServers,,
Microsoft.DBforPostgreSQL/servers/topQueryStatistics,,
Microsoft.DBforPostgreSQL/servers/virtualNetworkRules,,
Microsoft.Devices/IotHubs,PROTECTED,TRUE
Microsoft.Devices/IotHubs/eventGridFilters,PROTECTED,TRUE
Microsoft.Devices/ProvisioningServices,PROTECTED,TRUE
Microsoft.DevTestLab/labs,,TRUE
Microsoft.DevTestLab/labs/serviceRunners,,TRUE
Microsoft.DevTestLab/labs/virtualMachines,,TRUE
Microsoft.DevTestLab/locations/operations,,TRUE
