RESOURCETYPE,CERTIFICATION,ENABLED
Microsoft.Security/locations/externalSecuritySolutions,PROTECTED,TRUE
Microsoft.Security/locations/jitNetworkAccessPolicies,PROTECTED,TRUE
Microsoft.Security/locations/securitySolutions,PROTECTED,TRUE
Microsoft.Security/locations/securitySolutionsReferenceData,PROTECTED,TRUE
Microsoft.Security/locations/tasks,PROTECTED,TRUE
Microsoft.Security/locations/topologies,PROTECTED,TRUE
Microsoft.Security/monitoring,PROTECTED,TRUE
Microsoft.Security/monitoring/antimalware,PROTECTED,TRUE
Microsoft.Security/monitoring/baseline,PROTECTED,TRUE
Microsoft.Security/monitoring/patch,PROTECTED,TRUE
Microsoft.Security/policies,PROTECTED,TRUE
Microsoft.Security/pricings,PROTECTED,TRUE
Microsoft.Security/securityContacts,PROTECTED,TRUE
Microsoft.Security/securitySolutions,PROTECTED,TRUE
Microsoft.Security/securitySolutionsReferenceData,PROTECTED,TRUE
Microsoft.Security/securityStatus,PROTECTED,TRUE
Microsoft.Security/securityStatus/endpoints,PROTECTED,TRUE
Microsoft.Security/securityStatus/subnets,PROTECTED,TRUE
Microsoft.Security/securityStatus/virtualMachines,PROTECTED,TRUE
Microsoft.Security/securityStatuses,PROTECTED,TRUE
Microsoft.Security/securityStatusesSummaries,PROTECTED,TRUE
Microsoft.Security/settings,PROTECTED,TRUE
Microsoft.Security/tasks,PROTECTED,TRUE
Microsoft.Security/topologies,PROTECTED,TRUE
Microsoft.Security/workspaceSettings,PROTECTED,TRUE
Microsoft.SecurityGraph/operations,PROTECTED,TRUE
Microsoft.ServiceBus/namespaces,PROTECTED,TRUE
Microsoft.ServiceBus/namespaces/eventgridfilters,PROTECTED,TRUE
Microsoft.ServiceFabric/clusters,PROTECTED,TRUE
Microsoft.ServiceFabric/clusters/applications,PROTECTED,TRUE
Microsoft.ServiceFabric/locations/clusterVersions,PROTECTED,TRUE
Microsoft.ServiceFabric/locations/environments,PROTECTED,TRUE
Microsoft.ServiceFabric/locations/operationResults,PROTECTED,TRUE
Microsoft.ServiceFabric/locations/operations,PROTECTED,TRUE
Microsoft.ServiceFabricMesh/applications,PROTECTED,TRUE
Microsoft.ServiceFabricMesh/locations/applicationOperations,PROTECTED,TRUE
Microsoft.ServiceFabricMesh/locations/gatewayOperations,PROTECTED,TRUE
Microsoft.ServiceFabricMesh/locations/networkOperations,PROTECTED,TRUE
Microsoft.ServiceFabricMesh/locations/secretOperations,PROTECTED,TRUE
Microsoft.ServiceFabricMesh/locations/volumeOperations,PROTECTED,TRUE
Microsoft.ServiceFabricMesh/networks,PROTECTED,TRUE
Microsoft.ServiceFabricMesh/volumes,PROTECTED,TRUE
Microsoft.SignalRService/locations/checkNameAvailability,,
Microsoft.SignalRService/locations/operationResults,,
Microsoft.SignalRService/locations/usages,,
Microsoft.SignalRService/operations,,
Microsoft.SignalRService/SignalR,,
Microsoft.SiteRecovery/SiteRecoveryVault,PROTECTED,TRUE
Microsoft.Solutions/applianceDefinitions,CORE,TRUE
Microsoft.Solutions/appliances,CORE,TRUE
Microsoft.Solutions/applicationDefinitions,CORE,TRUE
Microsoft.Solutions/applications,CORE,TRUE
Microsoft.Solutions/locations,CORE,TRUE
Microsoft.Solutions/locations/operationstatuses,CORE,TRUE
Microsoft.Sql/checkNameAvailability,PROTECTED,TRUE
Microsoft.Sql/locations,PROTECTED,TRUE
Microsoft.Sql/locations/administratorAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/administratorOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/auditingSettingsAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/auditingSettingsOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/capabilities,PROTECTED,TRUE
Microsoft.Sql/locations/databaseAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/databaseOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/databaseRestoreAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/deletedServerAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/deletedServerOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/deletedServers,PROTECTED,TRUE
Microsoft.Sql/locations/deleteVirtualNetworkOrSubnets,PROTECTED,TRUE
Microsoft.Sql/locations/deleteVirtualNetworkOrSubnetsAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/deleteVirtualNetworkOrSubnetsOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/dnsAliasAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/dnsAliasOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/elasticPoolAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/elasticPoolOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/encryptionProtectorAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/encryptionProtectorOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/extendedAuditingSettingsAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/extendedAuditingSettingsOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/failoverGroupAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/failoverGroupOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/firewallRulesAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/firewallRulesOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/instanceFailoverGroupAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/instanceFailoverGroupOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/instanceFailoverGroups,PROTECTED,TRUE
Microsoft.Sql/locations/jobAgentAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/jobAgentOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/longTermRetentionBackupAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/longTermRetentionBackupOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/longTermRetentionBackups,PROTECTED,TRUE
Microsoft.Sql/locations/longTermRetentionPolicyAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/longTermRetentionPolicyOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/longTermRetentionServers,PROTECTED,TRUE
Microsoft.Sql/locations/managedDatabaseAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/managedDatabaseOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/managedDatabaseRestoreAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/managedDatabaseRestoreOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/managedInstanceAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/managedInstanceEncryptionProtectorAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/managedInstanceEncryptionProtectorOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/managedInstanceKeyAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/managedInstanceKeyOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/managedInstanceOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/managedInstanceTdeCertAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/managedInstanceTdeCertOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/managedServerSecurityAlertPoliciesAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/managedServerSecurityAlertPoliciesOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/securityAlertPoliciesAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/securityAlertPoliciesOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/serverAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/serverKeyAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/serverKeyOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/serverOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/shortTermRetentionPolicyAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/shortTermRetentionPolicyOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/syncAgentOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/syncDatabaseIds,PROTECTED,TRUE
Microsoft.Sql/locations/syncGroupOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/syncMemberOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/tdeCertAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/tdeCertOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/usages,PROTECTED,TRUE
Microsoft.Sql/locations/virtualNetworkRulesAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/virtualNetworkRulesOperationResults,PROTECTED,TRUE
Microsoft.Sql/locations/vulnerabilityAssessmentScanAzureAsyncOperation,PROTECTED,TRUE
Microsoft.Sql/locations/vulnerabilityAssessmentScanOperationResults,PROTECTED,TRUE
Microsoft.Sql/managedInstances/databases/vulnerabilityAssessments,PROTECTED,TRUE
Microsoft.Sql/managedInstances/tdeCertificates,PROTECTED,TRUE
Microsoft.Sql/managedInstances/vulnerabilityAssessments,PROTECTED,TRUE
Microsoft.Sql/operations,PROTECTED,TRUE
Microsoft.Sql/servers,PROTECTED,TRUE
Microsoft.Sql/servers/administratorOperationResults,PROTECTED,TRUE
Microsoft.Sql/servers/administrators,PROTECTED,TRUE
Microsoft.Sql/servers/advisors,PROTECTED,TRUE
Microsoft.Sql/servers/aggregatedDatabaseMetrics,PROTECTED,TRUE
Microsoft.Sql/servers/auditingPolicies,PROTECTED,TRUE
Microsoft.Sql/servers/auditingSettings,PROTECTED,TRUE
Microsoft.Sql/servers/automaticTuning,PROTECTED,TRUE
Microsoft.Sql/servers/backupLongTermRetentionVaults,PROTECTED,TRUE
Microsoft.Sql/servers/communicationLinks,PROTECTED,TRUE
Microsoft.Sql/servers/connectionPolicies,PROTECTED,TRUE
Microsoft.Sql/servers/databases,PROTECTED,TRUE
Microsoft.Sql/servers/databases/advisors,PROTECTED,TRUE
Microsoft.Sql/servers/databases/auditingPolicies,PROTECTED,TRUE
Microsoft.Sql/servers/databases/auditingSettings,PROTECTED,TRUE
Microsoft.Sql/servers/databases/auditRecords,PROTECTED,TRUE
Microsoft.Sql/servers/databases/automaticTuning,PROTECTED,TRUE
Microsoft.Sql/servers/databases/backupLongTermRetentionPolicies,PROTECTED,TRUE
Microsoft.Sql/servers/databases/connectionPolicies,PROTECTED,TRUE
Microsoft.Sql/servers/databases/dataMaskingPolicies,PROTECTED,TRUE
Microsoft.Sql/servers/databases/dataMaskingPolicies/rules,PROTECTED,TRUE
Microsoft.Sql/servers/databases/extensions,PROTECTED,TRUE
Microsoft.Sql/servers/databases/geoBackupPolicies,PROTECTED,TRUE
Microsoft.Sql/servers/databases/metricDefinitions,PROTECTED,TRUE
Microsoft.Sql/servers/databases/metrics,PROTECTED,TRUE
Microsoft.Sql/servers/databases/securityAlertPolicies,PROTECTED,TRUE
Microsoft.Sql/servers/databases/syncGroups,PROTECTED,TRUE
Microsoft.Sql/servers/databases/syncGroups/syncMembers,PROTECTED,TRUE
Microsoft.Sql/servers/databases/topQueries,PROTECTED,TRUE
Microsoft.Sql/servers/databases/topQueries/queryText,PROTECTED,TRUE
Microsoft.Sql/servers/databases/transparentDataEncryption,PROTECTED,TRUE
Microsoft.Sql/servers/databases/VulnerabilityAssessment,PROTECTED,TRUE
Microsoft.Sql/servers/databases/vulnerabilityAssessments,PROTECTED,TRUE
Microsoft.Sql/servers/databases/VulnerabilityAssessmentScans,PROTECTED,TRUE
Microsoft.Sql/servers/databases/VulnerabilityAssessmentSettings,PROTECTED,TRUE
Microsoft.Sql/servers/databaseSecurityPolicies,PROTECTED,TRUE
Microsoft.Sql/servers/disasterRecoveryConfiguration,PROTECTED,TRUE
Microsoft.Sql/servers/dnsAliases,PROTECTED,TRUE
Microsoft.Sql/servers/elasticPoolEstimates,PROTECTED,TRUE
Microsoft.Sql/servers/elasticpools,PROTECTED,TRUE
Microsoft.Sql/servers/elasticPools/advisors,PROTECTED,TRUE
Microsoft.Sql/servers/elasticpools/metricdefinitions,PROTECTED,TRUE
Microsoft.Sql/servers/elasticpools/metrics,PROTECTED,TRUE
Microsoft.Sql/servers/encryptionProtector,PROTECTED,TRUE
Microsoft.Sql/servers/extendedAuditingSettings,PROTECTED,TRUE
Microsoft.Sql/servers/failoverGroups,PROTECTED,TRUE
Microsoft.Sql/servers/import,PROTECTED,TRUE
Microsoft.Sql/servers/importExportOperationResults,PROTECTED,TRUE
Microsoft.Sql/servers/keys,PROTECTED,TRUE
Microsoft.Sql/servers/operationResults,PROTECTED,TRUE
Microsoft.Sql/servers/recommendedElasticPools,PROTECTED,TRUE
Microsoft.Sql/servers/recoverableDatabases,PROTECTED,TRUE
Microsoft.Sql/servers/restorableDroppedDatabases,PROTECTED,TRUE
Microsoft.Sql/servers/securityAlertPolicies,PROTECTED,TRUE
Microsoft.Sql/servers/serviceObjectives,PROTECTED,TRUE
Microsoft.Sql/servers/syncAgents,PROTECTED,TRUE
Microsoft.Sql/servers/tdeCertificates,PROTECTED,TRUE
Microsoft.Sql/servers/usages,PROTECTED,TRUE
Microsoft.Sql/servers/virtualNetworkRules,PROTECTED,TRUE
Microsoft.Sql/servers/vulnerabilityAssessments,PROTECTED,TRUE
Microsoft.Sql/virtualClusters,PROTECTED,TRUE
Microsoft.Storage/locations/asyncoperations,PROTECTED,TRUE
Microsoft.Storage/locations/deleteVirtualNetworkOrSubnets,PROTECTED,TRUE
Microsoft.Storage/locations/usages,PROTECTED,TRUE
Microsoft.Storage/storageAccounts,PROTECTED,TRUE
Microsoft.Storage/storageAccounts/blobServices,PROTECTED,TRUE
Microsoft.Storage/storageAccounts/fileServices,PROTECTED,TRUE
Microsoft.Storage/storageAccounts/listAccountSas,PROTECTED,TRUE
Microsoft.Storage/storageAccounts/listServiceSas,PROTECTED,TRUE
Microsoft.Storage/storageAccounts/queueServices,PROTECTED,TRUE
Microsoft.Storage/storageAccounts/services,PROTECTED,TRUE
Microsoft.Storage/storageAccounts/services/metricDefinitions,PROTECTED,TRUE
Microsoft.Storage/storageAccounts/tableServices,PROTECTED,TRUE
Microsoft.StorageSync/locations/checkNameAvailability,,
Microsoft.StorageSync/locations/workflows,,
Microsoft.StorageSync/storageSyncServices,,
Microsoft.StorageSync/storageSyncServices/registeredServers,,
Microsoft.StorageSync/storageSyncServices/syncGroups,,
Microsoft.StorageSync/storageSyncServices/syncGroups/cloudEndpoints,,
Microsoft.StorageSync/storageSyncServices/syncGroups/serverEndpoints,,
Microsoft.StorageSync/storageSyncServices/workflows,,
Microsoft.StorSimple/managers,,
Microsoft.StorSimple/operations,,
Microsoft.StreamAnalytics/locations,,
Microsoft.StreamAnalytics/operations,,
Microsoft.StreamAnalytics/streamingjobs,,
Microsoft.StreamAnalytics/streamingjobs/diagnosticSettings,,
Microsoft.StreamAnalytics/streamingjobs/metricDefinitions,,
Microsoft.Subscription/CreateSubscription,CORE,TRUE
Microsoft.Subscription/operations,CORE,TRUE
Microsoft.Subscription/SubscriptionDefinitions,CORE,TRUE
Microsoft.Subscription/SubscriptionOperations,CORE,TRUE
microsoft.support/operations,CORE,TRUE
microsoft.support/supporttickets,CORE,TRUE
Microsoft.TimeSeriesInsights/environments,,
Microsoft.TimeSeriesInsights/environments/accessPolicies,,
Microsoft.TimeSeriesInsights/environments/eventsources,,
Microsoft.TimeSeriesInsights/environments/referenceDataSets,,
Microsoft.TimeSeriesInsights/operations,,
microsoft.visualstudio/account,,TRUE
microsoft.visualstudio/account/extension,,TRUE
microsoft.visualstudio/account/project,,TRUE
microsoft.visualstudio/checkNameAvailability,,TRUE
microsoft.visualstudio/operations,,TRUE
Microsoft.Web/availableStacks,UDLM,TRUE
Microsoft.Web/billingMeters,UDLM,TRUE
Microsoft.Web/certificates,UDLM,TRUE
Microsoft.Web/checkNameAvailability,UDLM,TRUE
Microsoft.Web/connectionGateways,UDLM,TRUE
Microsoft.Web/connections,UDLM,TRUE
Microsoft.Web/customApis,UDLM,TRUE
Microsoft.Web/deletedSites,UDLM,TRUE
Microsoft.Web/functions,UDLM,TRUE
Microsoft.Web/hostingEnvironments,UDLM,TRUE
Microsoft.Web/hostingEnvironments/metrics,UDLM,TRUE
Microsoft.Web/hostingEnvironments/multiRolePools,UDLM,TRUE
Microsoft.Web/hostingEnvironments/workerPools,UDLM,TRUE
Microsoft.Web/ishostnameavailable,UDLM,TRUE
Microsoft.Web/isusernameavailable,UDLM,TRUE
Microsoft.Web/listSitesAssignedToHostName,UDLM,TRUE
Microsoft.Web/locations/apiOperations,UDLM,TRUE
Microsoft.Web/locations/connectionGatewayInstallations,UDLM,TRUE
Microsoft.Web/locations/extractApiDefinitionFromWsdl,UDLM,TRUE
Microsoft.Web/locations/listWsdlInterfaces,UDLM,TRUE
Microsoft.Web/locations/managedApis,UDLM,TRUE
Microsoft.Web/locations/runtimes,UDLM,TRUE
Microsoft.Web/operations,UDLM,TRUE
Microsoft.Web/publishingUsers,UDLM,TRUE
Microsoft.Web/serverFarms,UDLM,TRUE
Microsoft.Web/serverFarms/workers,UDLM,TRUE
Microsoft.Web/sites,UDLM,TRUE
Microsoft.Web/sites/domainOwnershipIdentifiers,UDLM,TRUE
Microsoft.Web/sites/hostNameBindings,UDLM,TRUE
Microsoft.Web/sites/instances,UDLM,TRUE
Microsoft.Web/sites/instances/extensions,UDLM,TRUE
Microsoft.Web/sites/metrics,UDLM,TRUE
Microsoft.Web/sites/premieraddons,UDLM,TRUE
Microsoft.Web/sites/slots,UDLM,TRUE
Microsoft.Web/sites/slots/hostNameBindings,UDLM,TRUE
Microsoft.Web/sites/slots/instances,UDLM,TRUE
Microsoft.Web/sites/slots/instances/extensions,UDLM,TRUE
Microsoft.Web/sites/slots/metrics,UDLM,TRUE
Microsoft.Web/sourceControls,UDLM,TRUE
Microsoft.Web/validate,UDLM,TRUE
Microsoft.Web/verifyHostingEnvironmentVnet,UDLM,TRUE
Microsoft.WindowsIoT/DeviceServices,,
Myget.PackageManagement/services,,
NewRelic.APM/accounts,,
nuubit.nextgencdn/accounts,,
Paraleap.CloudMonix/services,,
Pokitdok.Platform/services,,
RavenHq.Db/databases,,
Raygun.CrashReporting/apps,,
RevAPM.MobileCDN/accounts,,
Sendgrid.Email/accounts,,
Sendgrid.Email/operations,,
Sparkpost.Basic/services,,
stackify.retrace/services,,
SuccessBricks.ClearDB/clusters,,
SuccessBricks.ClearDB/databases,,
TrendMicro.DeepSecurity/accounts,,
U2uconsult.TheIdentityHub/services,,
